name,lat,lon
Union Station,43.645446,-79.380839
Dineen Coffee Co,43.65115,-79.37893
Quantum Coffee,43.64234,-79.39666
HotBlack Coffee,43.6503,-79.38866
Fahrenheit Coffee,43.64694,-79.40069
FIKA Cafe,43.65356,-79.40041
NEO Coffee Bar,43.65071,-79.36913
Balzac's Coffee (Distillery),43.65013,-79.35941
Rooster Coffee House,43.66918,-79.35274
Boxcar Social (Harbourfront),43.63875,-79.38366
Pilot Coffee (FCP Concourse),43.64961,-79.38131
Versus Coffee,43.64986,-79.37524
Dark Horse Espresso Bar (Queen E),43.65949,-79.35135
Early Bird Coffee,43.64768,-79.40255
Jimmy's Coffee (Ossington),43.6489,-79.4211
Strange Love Coffee,43.64787,-79.39453
Sam James Coffee Bar (Harbord),43.6627,-79.4149
NEO Coffee Bar (Bay),43.6468,-79.3796
Balzac's Coffee (UP Express),43.64575,-79.38047
Royal Ontario Museum,43.667679,-79.394809
Gardiner Museum,43.668163,-79.393151
Bata Shoe Museum,43.667267,-79.400181
Textile Museum of Canada,43.6546,-79.3868
Aga Khan Museum,43.725428,-79.331997
Ontario Science Centre,43.716873,-79.339005
Hockey Hall of Fame,43.647,-79.3773
